Time,Sensor,Bubble
2022-12-15 14:08:03.318434,0,LIQUID
2022-12-15 14:08:06.613926,0,LIQUID
2022-12-15 14:08:19.738904,0,LIQUID
2022-12-15 14:08:22.732974,0,LIQUID
2022-12-15 14:08:36.175471,0,LIQUID
2022-12-15 14:08:38.857639,0,AIR
2022-12-15 14:08:52.499929,0,AIR
2022-12-15 14:08:54.966151,0,LIQUID
2022-12-15 14:10:18.040505,0,LIQUID
2022-12-15 14:10:34.278375,0,LIQUID
2022-12-15 14:10:47.583423,0,LIQUID
2022-12-15 14:10:50.297293,0,LIQUID
2022-12-15 14:10:50.583719,0,LIQUID
2022-12-15 14:11:04.093073,0,LIQUID
2022-12-15 14:11:06.746310,0,AIR
2022-12-15 14:11:20.488042,0,LIQUID
2022-12-15 14:11:23.680007,0,AIR
2022-12-15 14:11:23.812253,0,LIQUID
2022-12-15 14:11:37.014361,0,LIQUID
2022-12-15 14:11:40.500243,0,AIR
2022-12-15 14:11:53.846076,0,AIR
2022-12-15 14:11:56.984797,0,AIR
2022-12-15 14:12:10.564392,0,AIR
2022-12-15 14:12:13.129688,0,AIR
2022-12-15 14:12:13.230424,0,LIQUID
2022-12-15 14:12:26.276175,0,LIQUID
2022-12-15 14:12:29.371026,0,AIR
2022-12-15 14:12:42.323635,0,AIR
2022-12-15 14:12:45.049138,0,AIR
2022-12-15 14:12:58.330908,0,AIR
2022-12-15 14:13:00.730677,0,LIQUID
2022-12-15 14:13:00.842952,0,LIQUID
2022-12-15 14:14:33.038751,0,LIQUID
2022-12-15 14:14:36.178862,0,LIQUID
2022-12-15 14:14:48.702595,0,LIQUID
2022-12-15 14:14:51.433649,0,LIQUID
2022-12-15 14:15:04.363481,0,LIQUID
2022-12-15 14:15:06.756550,0,LIQUID
2022-12-15 14:15:20.055025,0,AIR
2022-12-15 14:15:20.172236,0,LIQUID
2022-12-15 14:15:22.138993,0,AIR
2022-12-15 14:15:22.241741,0,LIQUID
2022-12-15 14:15:33.661449,0,LIQUID
